id,x,y
1,320,520
2,340,480
3,300,480
4,360,400
5,340,420
6,320,440
7,300,420
8,280,400
9,280,360
10,340,280
11,300,280
12,340,200
13,300,200
14,320,160
15,340,120
16,300,120
17,960,520
18,980,480
19,940,480
20,1000,400
21,980,420
22,960,440
23,940,420
24,920,400
25,1000,360
26,980,280
27,940,280
28,980,200
29,940,200
30,960,160
31,980,120
32,940,120
