FSR_IMU_R,4352799,16:12:31,-625,-307,-1938,7,-24,-6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FSR_IMU_R,4352833,16:12:31,-625,-302,-1942,10,-23,-8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FSR_IMU_R,4352866,16:12:31,-626,-301,-1942,7,-25,-6,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1
FSR_IMU_R,4352905,16:12:31,-621,-305,-1937,10,-24,-7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSR_IMU_L,4354918,16:12:33,260,-226,2052,23,-15,15,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0
FSR_IMU_L,4354956,16:12:33,256,-230,2052,24,-20,14,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
FSR_IMU_L,4354989,16:12:33,256,-227,2054,18,-17,16,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
FSR_IMU_R,4352939,16:12:31,-617,-304,-1936,8,-24,-7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSR_IMU_R,4352972,16:12:31,-620,-304,-1936,8,-24,-7,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0
FSR_IMU_L,4355022,16:12:33,259,-226,2055,20,-21,15,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0
FSR_IMU_L,4355090,16:12:33,263,-228,2049,16,-22,15,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
FSR_IMU_L,4355164,16:12:33,257,-227,2048,26,-19,15,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
FSR_IMU_R,4353005,16:12:31,-620,-306,-1942,6,-24,-5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
FSR_IMU_R,4353039,16:12:31,-627,-303,-1939,6,-26,-5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FSR_IMU_R,4353078,16:12:31,-624,-305,-1937,7,-25,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
