id,x,y
1,280,80
2,320,100
3,280,160
4,280,260
5,260,360
6,300,400
7,280,440
8,300,480
9,340,80
10,340,160
11,340,260
12,260,320
13,360,380
14,380,460
15,400,500
16,360,520
17,980,480
18,1000,440
19,980,400
20,1020,360
21,1000,260
22,960,100
23,1000,160
24,1000,80
25,920,520
26,880,500
27,900,460
28,920,380
29,1020,320
30,940,160
31,940,260
32,940,80
